"Instituto","Campus","Co_unidade_ensino","Cidade","Sigla"
"INSTITUTO FEDERAL DO CEARÁ","CAMPUS UMIRIM","31090","UMIRIM","CE"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS AVANÇADO SOBRADINHO","32334","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS BRASÍLIA","13349","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASILIA","CAMPUS CEILÂNDIA","21892","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS ESTRUTURAL","21778","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS GAMA","13369","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS PLANALTINA","2803","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASILIA","CAMPUS RECANTO DAS EMAS","20892","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS RIACHO FUNDO","20568","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS SAMAMBAIA","13368","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS SÃO SEBASTIÃO","20567","BRASÍLIA","DF"
"INSTITUTO FEDERAL DE BRASÍLIA","CAMPUS TAGUATINGA","13367","BRASÍLIA","DF"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS ALEGRE","2891","ALEGRE","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS ARACRUZ","3519","ARACRUZ","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS BARRA DE SÃO FRANCISCO","22588","BARRA DE SÃO FRANCISCO","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS CACHOEIRO DE ITAPEMIRIM","2894","CACHOEIRO DE ITAPEMIRIM","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS CARIACICA","2892","CARIACICA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS COLATINA","2896","COLATINA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS ITAPINA","2895","COLATINA","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS GUARAPARI","13838","GUARAPARI","ES"
"INSTITUTO FEDERAL DO ESPÍRITO SANTO","CAMPUS IBATIBA","14500","IBATIBA","ES"
